\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000027_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1770     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:03:23 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454048.699084 14.30508 0.01390 
 2454048.703605 14.31779 0.01346 
 2454048.708124 14.30090 0.01343 
 2454048.712704 14.30829 0.01326 
 2454048.717223 14.30318 0.01383 
 2454048.721743 14.30512 0.01325 
 2454048.726267 14.30480 0.01326 
 2454048.730787 14.30178 0.01356 
 2454048.735304 14.30698 0.01310 
 2454048.739824 14.30268 0.01317 
 2454048.744344 14.30650 0.01290 
 2454048.748864 14.29637 0.01332 
 2454048.753384 14.29931 0.01301 
 2454050.661443 14.30309 0.01111 
 2454050.665961 14.30661 0.01071 
 2454050.670486 14.30917 0.01078 
 2454050.675859 14.29848 0.01081 
 2454050.681227 14.31228 0.01085 
 2454050.686590 14.30564 0.01032 
 2454050.691959 14.32634 0.01042 
 2454050.694063 14.31171 0.01031 
 2454050.698585 14.31557 0.01014 
 2454050.703103 14.30606 0.01033 
 2454050.707628 14.30749 0.01018 
 2454050.712143 14.30873 0.01004 
 2454050.721189 14.32167 0.01026 
 2454050.725707 14.30778 0.01032 
 2454050.730228 14.31457 0.01057 
 2454050.734754 14.31417 0.01055 
 2454050.739272 14.31558 0.01076 
 2454050.743796 14.29960 0.01082 
 2454050.748318 14.31112 0.01090 
 2454052.657430 14.32471 0.01105 
 2454052.661956 14.32158 0.01063 
 2454052.666475 14.32651 0.01069 
 2454052.671844 14.31931 0.01003 
 2454052.677207 14.31704 0.01113 
 2454052.682575 14.31157 0.01041 
 2454052.687946 14.30048 0.01024 
 2454052.690052 14.29862 0.01015 
 2454052.694574 14.32102 0.01056 
 2454052.699097 14.32033 0.01053 
 2454052.703616 14.31375 0.01021 
 2454052.708139 14.31723 0.01040 
 2454052.712656 14.30857 0.01024 
 2454052.717178 14.31472 0.01054 
 2454052.721694 14.30768 0.01034 
 2454052.730734 14.32254 0.01080 
 2454052.735259 14.30938 0.01053 
 2454052.739783 14.32431 0.01065 
 2454052.744299 14.32467 0.01092 
 2454053.651245 14.31275 0.01052 
 2454053.655770 14.32645 0.01033 
 2454053.660295 14.31538 0.01072 
 2454053.664818 14.31313 0.01023 
 2454053.670182 14.31996 0.01033 
 2454053.675551 14.31659 0.00998 
 2454053.680921 14.30193 0.01023 
 2454053.686292 14.32229 0.01006 
 2454053.688397 14.32188 0.00997 
 2454053.692922 14.30531 0.01030 
 2454053.697438 14.33172 0.00978 
 2454053.706490 14.30456 0.00956 
 2454053.711014 14.32359 0.00966 
 2454053.715536 14.31444 0.00927 
 2454053.720054 14.31105 0.00938 
 2454053.724578 14.31098 0.00932 
 2454053.729100 14.31599 0.00937 
 2454053.733619 14.31159 0.00936 
 2454053.738144 14.32126 0.00950 
 2454053.742669 14.32469 0.00951 
 2454054.652340 14.31910 0.00983 
 2454054.656858 14.31411 0.00991 
 2454054.661383 14.30275 0.00973 
 2454054.666755 14.31345 0.00962 
 2454054.672125 14.30404 0.00966 
 2454054.677497 14.30830 0.01003 
 2454054.682867 14.32231 0.00971 
 2454054.684971 14.31870 0.00993 
 2454054.689493 14.32149 0.00954 
 2454054.694012 14.31909 0.00921 
 2454054.698536 14.31149 0.00935 
 2454054.703058 14.30422 0.00956 
 2454054.707575 14.32145 0.00944 
 2454054.712099 14.30275 0.00929 
