\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000025_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:00:10 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 14.01149 0.00940 
 2454034.701953 14.00089 0.00850 
 2454034.706575 14.01125 0.00948 
 2454034.711195 13.98824 0.00861 
 2454034.715816 14.00332 0.00836 
 2454034.721280 14.01650 0.00883 
 2454034.726743 14.01718 0.00788 
 2454034.728931 14.01531 0.00801 
 2454034.733552 14.00284 0.00809 
 2454034.738171 13.99985 0.00800 
 2454034.742791 14.00629 0.00795 
 2454034.747412 14.00493 0.00879 
 2454034.752032 14.01493 0.00745 
 2454034.756652 13.99853 0.01012 
 2454034.761271 14.01381 0.00770 
 2454034.765892 14.00476 0.00805 
 2454034.770512 14.02019 0.00773 
 2454034.775132 14.00278 0.00779 
 2454034.788988 14.01914 0.00820 
 2454034.793608 14.00440 0.00750 
 2454035.691028 14.01089 0.00883 
 2454035.695648 14.00947 0.00886 
 2454035.700270 14.00571 0.00875 
 2454035.704890 14.00246 0.00872 
 2454035.709512 14.00722 0.00874 
 2454035.714132 13.99328 0.00862 
 2454035.719593 14.00669 0.00843 
 2454035.721781 14.00979 0.00823 
 2454035.726402 14.02111 0.00830 
 2454035.731024 14.00535 0.00826 
 2454035.735647 14.01863 0.00823 
 2454035.740269 14.00343 0.00808 
 2454035.744889 14.00169 0.00806 
 2454035.749509 14.01624 0.00783 
 2454035.754130 14.00571 0.00803 
 2454035.758752 14.00722 0.00780 
 2454035.763372 14.00406 0.00793 
 2454035.767992 14.00469 0.00781 
 2454035.772612 14.01520 0.00787 
 2454035.777233 14.02151 0.00786 
 2454035.781854 14.00059 0.00776 
 2454035.786476 14.02867 0.00774 
 2454035.791096 13.99817 0.00768 
 2454036.691428 13.99649 0.00915 
 2454036.696047 14.01768 0.00861 
 2454036.700668 14.00393 0.00846 
 2454036.705288 14.01203 0.00894 
 2454036.709908 14.00446 0.00832 
 2454036.715372 14.00263 0.00842 
 2454036.720834 14.01388 0.00852 
 2454036.723022 14.01392 0.00848 
 2454036.727641 14.01766 0.00818 
 2454036.732260 14.01529 0.00844 
 2454036.736880 14.00049 0.00832 
 2454036.741499 14.01862 0.00814 
 2454036.746121 14.01925 0.00810 
 2454036.750741 14.01119 0.00779 
 2454036.755361 14.02607 0.00863 
 2454036.759981 14.00235 0.00820 
 2454036.764603 14.01869 0.00813 
 2454036.769224 14.00858 0.00818 
 2454036.773844 14.01511 0.00790 
 2454036.778464 14.03022 0.00859 
 2454036.783085 14.02147 0.00809 
 2454036.787706 14.01738 0.00795 
 2454037.685167 14.01037 0.00837 
 2454037.689788 14.01375 0.00838 
 2454037.694408 14.01572 0.00790 
 2454037.699029 14.03569 0.01084 
 2454037.703650 14.01039 0.00723 
 2454037.708272 14.00320 0.00799 
 2454037.713737 14.00995 0.00807 
 2454037.715925 14.01475 0.00785 
 2454037.720546 14.01759 0.00782 
 2454037.725167 14.00891 0.00780 
 2454037.729789 14.01093 0.00768 
 2454037.734411 14.00805 0.00741 
 2454037.739033 14.01930 0.00738 
 2454037.743653 14.02448 0.00720 
 2454037.748274 14.01552 0.00744 
 2454037.752895 14.00783 0.00727 
 2454037.757517 14.00304 0.00729 
 2454037.762139 14.00931 0.00716 
 2454037.766760 14.01176 0.00711 
 2454037.771381 14.01607 0.00708 
 2454037.776002 14.00569 0.00720 
 2454037.780624 14.00086 0.00712 
 2454037.785245 14.01141 0.00715 
 2454038.735588 14.02362 0.00770 
 2454038.740209 14.02064 0.00789 
 2454038.758691 14.01012 0.00742 
 2454038.767932 14.05129 0.00499 
 2454038.772554 14.02385 0.00726 
 2454038.777175 14.04118 0.00681 
 2454038.781796 14.01192 0.00564 
 2454039.676434 14.01805 0.01018 
 2454039.681054 14.00208 0.01011 
 2454039.685675 14.02078 0.01002 
 2454039.690296 14.01766 0.01007 
