\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000051_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:05:03 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 14.62711 0.01570 
 2454034.701953 14.59786 0.01400 
 2454034.706575 14.64926 0.01588 
 2454034.711195 14.63104 0.01419 
 2454034.715816 14.63226 0.01379 
 2454034.721280 14.61529 0.01470 
 2454034.726743 14.61588 0.01286 
 2454034.728931 14.61598 0.01306 
 2454034.733552 14.63252 0.01316 
 2454034.738171 14.60941 0.01305 
 2454034.742791 14.61277 0.01299 
 2454034.747412 14.63365 0.01459 
 2454034.752032 14.61133 0.01227 
 2454034.756652 14.62377 0.01704 
 2454034.761271 14.64365 0.01248 
 2454034.765892 14.63972 0.01313 
 2454034.770512 14.63438 0.01254 
 2454034.775132 14.61322 0.01284 
 2454034.788988 14.63704 0.01352 
 2454034.793608 14.63202 0.01216 
 2454035.691028 14.62756 0.01451 
 2454035.695648 14.63993 0.01466 
 2454035.700270 14.60444 0.01442 
 2454035.704890 14.62579 0.01450 
 2454035.709512 14.62110 0.01439 
 2454035.714132 14.63847 0.01403 
 2454035.719593 14.63195 0.01378 
 2454035.721781 14.62317 0.01339 
 2454035.726402 14.61126 0.01360 
 2454035.731024 14.61910 0.01344 
 2454035.735647 14.61904 0.01344 
 2454035.740269 14.61669 0.01320 
 2454035.744889 14.63401 0.01303 
 2454035.749509 14.62297 0.01269 
 2454035.754130 14.63284 0.01302 
 2454035.758752 14.62471 0.01261 
 2454035.763372 14.64934 0.01283 
 2454035.767992 14.63209 0.01264 
 2454035.772612 14.64572 0.01269 
 2454035.777233 14.62036 0.01271 
 2454035.781854 14.61130 0.01254 
 2454035.786476 14.62355 0.01254 
 2454035.791096 14.63233 0.01235 
 2454036.691428 14.61144 0.01534 
 2454036.696047 14.60876 0.01425 
 2454036.700668 14.62511 0.01398 
 2454036.705288 14.61569 0.01481 
 2454036.709908 14.63889 0.01365 
 2454036.715372 14.62591 0.01380 
 2454036.720834 14.63936 0.01402 
 2454036.723022 14.62369 0.01401 
 2454036.727641 14.63774 0.01349 
 2454036.732260 14.62247 0.01391 
 2454036.736880 14.64906 0.01356 
 2454036.741499 14.62926 0.01326 
 2454036.746121 14.62775 0.01323 
 2454036.750741 14.62170 0.01280 
 2454036.755361 14.65301 0.01432 
 2454036.759981 14.61294 0.01339 
 2454036.764603 14.62988 0.01331 
 2454036.769224 14.61538 0.01350 
 2454036.773844 14.62615 0.01298 
 2454036.778464 14.61692 0.01435 
 2454036.783085 14.61810 0.01326 
 2454036.787706 14.62857 0.01298 
 2454037.685167 14.61071 0.01378 
 2454037.689788 14.62338 0.01379 
 2454037.694408 14.62270 0.01307 
 2454037.699029 14.64394 0.01843 
 2454037.703650 14.62027 0.01184 
 2454037.708272 14.62533 0.01301 
 2454037.713737 14.62911 0.01317 
 2454037.715925 14.62495 0.01279 
 2454037.720546 14.63640 0.01272 
 2454037.725167 14.62484 0.01267 
 2454037.729789 14.63139 0.01244 
 2454037.734411 14.63528 0.01193 
 2454037.739033 14.60447 0.01191 
 2454037.743653 14.62026 0.01162 
 2454037.748274 14.63281 0.01194 
 2454037.752895 14.61752 0.01168 
 2454037.757517 14.63216 0.01163 
 2454037.762139 14.63324 0.01144 
 2454037.766760 14.64129 0.01134 
 2454037.771381 14.61520 0.01132 
 2454037.776002 14.63294 0.01148 
 2454037.780624 14.62800 0.01131 
 2454037.785245 14.62793 0.01140 
 2454038.735588 14.62299 0.01253 
 2454038.740209 14.64991 0.01287 
 2454038.758691 14.62806 0.01194 
 2454038.767932 14.63022 0.00796 
 2454038.772554 14.62922 0.01168 
 2454038.777175 14.64713 0.01087 
 2454038.781796 14.61000 0.00892 
 2454039.676434 14.61416 0.01705 
 2454039.681054 14.65299 0.01691 
 2454039.685675 14.62035 0.01679 
 2454039.690296 14.60828 0.01684 
