\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000027_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:00:29 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 14.31733 0.01220 
 2454034.701953 14.31921 0.01078 
 2454034.706575 14.31585 0.01231 
 2454034.711195 14.32569 0.01098 
 2454034.715816 14.32365 0.01063 
 2454034.721280 14.33174 0.01135 
 2454034.726743 14.32083 0.00996 
 2454034.728931 14.30963 0.01014 
 2454034.733552 14.31266 0.01021 
 2454034.738171 14.30102 0.01014 
 2454034.742791 14.32512 0.01005 
 2454034.747412 14.33419 0.01113 
 2454034.752032 14.31542 0.00939 
 2454034.756652 14.34659 0.01312 
 2454034.761271 14.30988 0.00972 
 2454034.765892 14.32124 0.01017 
 2454034.770512 14.32406 0.00972 
 2454034.775132 14.32823 0.00987 
 2454034.788988 14.30938 0.01050 
 2454034.793608 14.32139 0.00943 
 2454035.691028 14.33898 0.01121 
 2454035.695648 14.33829 0.01142 
 2454035.700270 14.31712 0.01115 
 2454035.704890 14.29869 0.01121 
 2454035.709512 14.31924 0.01117 
 2454035.714132 14.30359 0.01086 
 2454035.719593 14.32234 0.01070 
 2454035.721781 14.32206 0.01040 
 2454035.726402 14.30298 0.01054 
 2454035.731024 14.31213 0.01043 
 2454035.735647 14.31343 0.01042 
 2454035.740269 14.31346 0.01022 
 2454035.744889 14.30908 0.01012 
 2454035.749509 14.30941 0.00988 
 2454035.754130 14.30657 0.01017 
 2454035.758752 14.31482 0.00983 
 2454035.763372 14.31972 0.00999 
 2454035.767992 14.31615 0.00987 
 2454035.772612 14.30694 0.00993 
 2454035.777233 14.31625 0.00988 
 2454035.781854 14.32210 0.00977 
 2454035.786476 14.30989 0.00975 
 2454035.791096 14.30622 0.00964 
 2454036.691428 14.31597 0.01193 
 2454036.696047 14.33713 0.01101 
 2454036.700668 14.31512 0.01084 
 2454036.705288 14.29814 0.01144 
 2454036.709908 14.31324 0.01060 
 2454036.715372 14.31322 0.01065 
 2454036.720834 14.31561 0.01088 
 2454036.723022 14.30820 0.01088 
 2454036.727641 14.29271 0.01050 
 2454036.732260 14.32449 0.01078 
 2454036.736880 14.34710 0.01048 
 2454036.741499 14.32619 0.01030 
 2454036.746121 14.30811 0.01027 
 2454036.750741 14.31151 0.00984 
 2454036.755361 14.31772 0.01110 
 2454036.759981 14.32843 0.01038 
 2454036.764603 14.30198 0.01030 
 2454036.769224 14.32434 0.01044 
 2454036.773844 14.32235 0.01021 
 2454036.778464 14.30813 0.01105 
 2454036.783085 14.30888 0.01028 
 2454036.787706 14.31494 0.01009 
 2454037.685167 14.32982 0.01063 
 2454037.689788 14.31895 0.01068 
 2454037.694408 14.31715 0.01002 
 2454037.699029 14.36061 0.01445 
 2454037.703650 14.31221 0.00894 
 2454037.708272 14.32193 0.01009 
 2454037.713737 14.32298 0.01023 
 2454037.715925 14.32841 0.00991 
 2454037.720546 14.33376 0.00991 
 2454037.725167 14.32850 0.00983 
 2454037.729789 14.31679 0.00971 
 2454037.734411 14.31818 0.00931 
 2454037.739033 14.32665 0.00926 
 2454037.743653 14.31968 0.00907 
 2454037.748274 14.31498 0.00934 
 2454037.752895 14.31217 0.00912 
 2454037.757517 14.31121 0.00911 
 2454037.762139 14.32843 0.00891 
 2454037.766760 14.31969 0.00887 
 2454037.771381 14.31508 0.00885 
 2454037.776002 14.31682 0.00898 
 2454037.780624 14.30300 0.00888 
 2454037.785245 14.30607 0.00893 
 2454038.735588 14.31016 0.00973 
 2454038.740209 14.30925 0.00997 
 2454038.758691 14.32485 0.00931 
 2454038.767932 14.29963 0.00609 
 2454038.772554 14.32226 0.00910 
 2454038.777175 14.33530 0.00851 
 2454038.781796 14.29273 0.00700 
 2454039.676434 14.33248 0.01304 
 2454039.681054 14.33739 0.01295 
 2454039.685675 14.31428 0.01287 
 2454039.690296 14.31143 0.01289 
