\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_003635_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 600      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:04:06 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454460.640304 15.00636 0.02194 
 2454461.630294 15.01108 0.01575 
 2454461.635650 14.97475 0.01650 
 2454461.641009 15.02445 0.01630 
 2454462.631829 15.00273 0.01586 
 2454462.637189 14.97398 0.01613 
 2454463.627305 15.01414 0.01474 
 2454463.632664 15.00624 0.01473 
 2454464.622717 15.03540 0.01525 
 2454464.628076 14.99010 0.01563 
 2454464.633437 14.99087 0.01494 
 2454465.623549 14.98867 0.01516 
 2454465.628908 15.01485 0.01512 
 2454731.906846 15.00807 0.01832 
 2454731.913903 14.99391 0.01758 
 2454731.920953 15.01174 0.01560 
 2454731.928018 14.99683 0.01580 
 2454731.935075 14.98832 0.01720 
 2454731.942128 15.00078 0.01769 
 2454731.949184 14.99829 0.01727 
 2454731.956232 15.00924 0.01764 
 2454731.960957 14.99638 0.01867 
 2454731.965660 15.01336 0.01915 
 2454731.970378 15.00785 0.01949 
 2454731.991444 15.00318 0.01779 
 2454731.993643 15.01335 0.01828 
 2454731.995831 15.01154 0.01817 
 2454731.998037 14.99700 0.01732 
 2454732.000225 14.97048 0.01790 
 2454732.002434 14.99561 0.01873 
 2454732.004629 14.99337 0.01882 
 2454732.006828 15.04033 0.01991 
 2454732.009028 14.97267 0.02221 
 2454732.011219 14.99386 0.02531 
 2454732.013426 15.00416 0.03031 
 2454732.911568 15.00541 0.01565 
 2454732.918624 14.99491 0.01426 
 2454732.925683 15.01160 0.01482 
 2454732.932736 15.00832 0.01602 
 2454732.939785 15.00968 0.01629 
 2454732.946843 15.01367 0.01561 
 2454732.953893 15.01107 0.01638 
 2454732.958605 14.99030 0.01697 
 2454732.963321 15.02100 0.01762 
 2454732.968038 15.01466 0.01760 
 2454732.989102 15.00705 0.01593 
 2454732.991292 15.01950 0.01577 
 2454732.993501 15.01561 0.01580 
 2454732.995701 15.00307 0.01641 
 2454732.997901 15.01142 0.01660 
 2454733.000096 14.98049 0.01694 
 2454733.002288 15.01507 0.01660 
 2454733.004495 14.99002 0.01704 
 2454733.006681 14.98860 0.01807 
 2454733.008892 15.00584 0.01984 
 2454733.011090 14.99269 0.02252 
 2454733.013279 15.01908 0.02697 
 2454733.901125 14.99702 0.01442 
 2454733.911292 15.00088 0.01543 
 2454733.921461 14.98697 0.01457 
 2454733.975612 15.00843 0.01422 
 2454733.987543 15.01841 0.01401 
 2454733.992276 15.02345 0.01533 
 2454733.997003 15.01641 0.01532 
 2454734.001726 15.03116 0.01540 
 2454734.006453 14.99481 0.01713 
 2454734.011183 14.97943 0.02147 
 2454734.905837 14.97908 0.01504 
 2454734.918267 14.98958 0.01579 
 2454734.930691 14.98727 0.01597 
 2454734.943120 15.01223 0.01604 
 2454734.960785 15.01418 0.01501 
 2454734.976174 14.99901 0.01442 
 2454735.007888 15.01785 0.01890 
 2454737.895504 15.00413 0.01460 
 2454737.907936 14.98463 0.01418 
 2454737.920366 15.00709 0.01493 
 2454737.932813 15.00810 0.01425 
 2454737.945293 15.02167 0.01418 
 2454737.975308 15.01355 0.01420 
 2454737.985491 15.01272 0.01537 
 2454737.995667 14.99758 0.01495 
 2454738.005848 15.01929 0.01513 
 2454738.016019 15.00731 0.03063 
 2454738.895219 14.99460 0.01404 
 2454738.907643 15.00358 0.01351 
 2454738.920061 14.99528 0.01466 
 2454738.932473 15.01210 0.01370 
 2454738.972448 15.01787 0.01260 
 2454738.982609 15.01625 0.01448 
 2454738.992772 14.99801 0.01338 
 2454739.002951 15.00832 0.01398 
 2454739.015405 15.01837 0.02622 
 2454739.891311 15.00531 0.01455 
 2454739.903730 15.01125 0.01385 
 2454739.916144 14.99405 0.01267 
 2454739.928556 15.00075 0.01442 
 2454739.941012 15.00916 0.01419 
 2454739.991322 14.99499 0.01400 
 2454740.001486 15.03297 0.01363 
 2454741.887485 14.98774 0.01570 
 2454741.899906 15.00100 0.01535 
 2454741.912318 15.02220 0.01571 
 2454741.924734 15.01432 0.01633 
 2454741.934719 14.98792 0.01569 
 2454741.964697 15.01653 0.01535 
 2454741.974875 15.02012 0.01659 
 2454741.985039 14.98108 0.01485 
 2454741.995205 15.00629 0.01380 
 2454742.007665 15.02197 0.01550 
 2454742.897478 15.00644 0.01475 
 2454742.909906 15.00183 0.01439 
 2454742.922331 14.98098 0.01342 
 2454742.972515 15.01246 0.01493 
 2454742.982695 14.99802 0.01362 
 2454742.992869 14.99146 0.01344 
 2454743.005360 15.01590 0.01374 
