\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000035_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1765     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:02:00 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 12.62086 0.00001 
 2454034.701953 12.62086 0.00001 
 2454034.706575 12.62086 0.00001 
 2454034.711195 12.62085 0.00001 
 2454034.715816 12.62085 0.00001 
 2454034.721280 12.62086 0.00001 
 2454034.726743 12.62086 0.00001 
 2454034.728931 12.62086 0.00001 
 2454034.733552 12.62086 0.00001 
 2454034.738171 12.62086 0.00001 
 2454034.742791 12.62086 0.00001 
 2454034.747412 12.62086 0.00001 
 2454034.752032 12.62087 0.00001 
 2454034.756652 12.62086 0.00001 
 2454034.761271 12.62087 0.00001 
 2454034.765892 12.62086 0.00006 
 2454034.770512 12.61812 0.00128 
 2454034.775132 12.63068 0.00271 
 2454034.788988 12.62354 0.00288 
 2454034.793608 12.63017 0.00271 
 2454035.691028 12.62086 0.00001 
 2454035.695648 12.62086 0.00001 
 2454035.700270 12.62086 0.00001 
 2454035.704890 12.62086 0.00001 
 2454035.709512 12.62086 0.00001 
 2454035.714132 12.62086 0.00001 
 2454035.719593 12.62086 0.00001 
 2454035.721781 12.62086 0.00001 
 2454035.726402 12.62086 0.00001 
 2454035.731024 12.62086 0.00001 
 2454035.735647 12.62086 0.00001 
 2454035.740269 12.62086 0.00001 
 2454035.744889 12.62086 0.00001 
 2454035.749509 12.62085 0.00001 
 2454035.754130 12.62087 0.00001 
 2454035.758752 12.62088 0.00001 
 2454035.763372 12.62083 0.00007 
 2454035.767992 12.61728 0.00269 
 2454035.772612 12.62073 0.00290 
 2454035.777233 12.61882 0.00290 
 2454035.781854 12.63017 0.00286 
 2454035.786476 12.62199 0.00288 
 2454035.791096 12.62984 0.00283 
 2454036.691428 12.62086 0.00001 
 2454036.696047 12.62086 0.00001 
 2454036.700668 12.62086 0.00001 
 2454036.705288 12.62086 0.00001 
 2454036.709908 12.62086 0.00001 
 2454036.715372 12.62086 0.00001 
 2454036.720834 12.62086 0.00001 
 2454036.723022 12.62086 0.00001 
 2454036.727641 12.62086 0.00001 
 2454036.732260 12.62086 0.00001 
 2454036.736880 12.62085 0.00001 
 2454036.741499 12.62086 0.00001 
 2454036.746121 12.62086 0.00001 
 2454036.750741 12.62086 0.00001 
 2454036.755361 12.62088 0.00001 
 2454036.759981 12.62090 0.00006 
 2454036.764603 12.62079 0.00077 
 2454036.769224 12.61093 0.00283 
 2454036.773844 12.62040 0.00274 
 2454036.778464 12.61397 0.00303 
 2454036.783085 12.61574 0.00292 
 2454036.787706 12.62824 0.00284 
 2454037.685167 12.62086 0.00001 
 2454037.689788 12.62086 0.00001 
 2454037.694408 12.62086 0.00001 
 2454037.699029 12.62086 0.00001 
 2454037.703650 12.62086 0.00001 
 2454037.708272 12.62086 0.00001 
 2454037.713737 12.62086 0.00001 
 2454037.715925 12.62086 0.00001 
 2454037.720546 12.62086 0.00001 
 2454037.725167 12.62086 0.00001 
 2454037.729789 12.62086 0.00001 
 2454037.734411 12.62087 0.00001 
 2454037.739033 12.62085 0.00001 
 2454037.743653 12.62087 0.00001 
 2454037.748274 12.62084 0.00001 
 2454037.752895 12.62086 0.00001 
 2454037.757517 12.62091 0.00006 
 2454037.762139 12.62180 0.00232 
 2454037.766760 12.61793 0.00269 
 2454037.771381 12.62584 0.00267 
 2454037.776002 12.62336 0.00272 
 2454037.780624 12.62228 0.00269 
 2454037.785245 12.62256 0.00271 
 2454038.735588 12.62086 0.00001 
 2454038.740209 12.62087 0.00001 
 2454038.758691 12.62213 0.00121 
 2454038.767932 12.60080 0.00169 
 2454038.772554 12.63314 0.00271 
 2454038.777175 12.62476 0.00230 
 2454038.781796 12.67094 0.00200 
 2454039.716430 12.62086 0.00001 
 2454039.721049 12.62086 0.00001 
 2454039.725669 12.62086 0.00001 
 2454039.734910 12.62088 0.00002 
