\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000050_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1767     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:04:50 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 13.76222 0.00002 
 2454034.701953 13.76222 0.00002 
 2454034.706575 13.76222 0.00002 
 2454034.711195 13.76222 0.00002 
 2454034.715816 13.76221 0.00002 
 2454034.721280 13.76221 0.00002 
 2454034.726743 13.76221 0.00002 
 2454034.728931 13.76221 0.00002 
 2454034.733552 13.76221 0.00002 
 2454034.738171 13.76221 0.00002 
 2454034.742791 13.76221 0.00002 
 2454034.747412 13.76219 0.00002 
 2454034.752032 13.76223 0.00002 
 2454034.756652 13.76223 0.00003 
 2454034.761271 13.76221 0.00006 
 2454034.765892 13.76236 0.00035 
 2454034.770512 13.76681 0.00442 
 2454034.775132 13.76883 0.00635 
 2454034.788988 13.75710 0.00668 
 2454034.793608 13.75805 0.00615 
 2454035.691028 13.76222 0.00002 
 2454035.695648 13.76222 0.00002 
 2454035.700270 13.76222 0.00002 
 2454035.704890 13.76222 0.00002 
 2454035.709512 13.76222 0.00002 
 2454035.714132 13.76221 0.00002 
 2454035.719593 13.76221 0.00002 
 2454035.721781 13.76221 0.00002 
 2454035.726402 13.76221 0.00002 
 2454035.731024 13.76221 0.00002 
 2454035.735647 13.76222 0.00002 
 2454035.740269 13.76220 0.00002 
 2454035.744889 13.76222 0.00002 
 2454035.749509 13.76220 0.00002 
 2454035.754130 13.76221 0.00002 
 2454035.758752 13.76227 0.00006 
 2454035.763372 13.76198 0.00051 
 2454035.767992 13.76910 0.00548 
 2454035.772612 13.75783 0.00643 
 2454035.777233 13.77475 0.00640 
 2454035.781854 13.77545 0.00633 
 2454035.786476 13.76304 0.00635 
 2454035.791096 13.77579 0.00623 
 2454036.691428 13.76222 0.00002 
 2454036.696047 13.76222 0.00002 
 2454036.700668 13.76222 0.00002 
 2454036.705288 13.76222 0.00002 
 2454036.709908 13.76221 0.00002 
 2454036.715372 13.76221 0.00002 
 2454036.720834 13.76221 0.00002 
 2454036.723022 13.76221 0.00002 
 2454036.727641 13.76221 0.00002 
 2454036.732260 13.76222 0.00002 
 2454036.736880 13.76219 0.00002 
 2454036.741499 13.76221 0.00002 
 2454036.746121 13.76222 0.00002 
 2454036.750741 13.76220 0.00002 
 2454036.755361 13.76225 0.00006 
 2454036.759981 13.76234 0.00035 
 2454036.764603 13.76339 0.00407 
 2454036.769224 13.76299 0.00656 
 2454036.773844 13.77213 0.00623 
 2454036.778464 13.75671 0.00710 
 2454036.783085 13.76657 0.00662 
 2454036.787706 13.75780 0.00645 
 2454037.685167 13.76222 0.00002 
 2454037.689788 13.76222 0.00002 
 2454037.694408 13.76222 0.00002 
 2454037.699029 13.76222 0.00002 
 2454037.703650 13.76222 0.00002 
 2454037.708272 13.76221 0.00002 
 2454037.713737 13.76221 0.00002 
 2454037.715925 13.76221 0.00002 
 2454037.720546 13.76221 0.00002 
 2454037.725167 13.76221 0.00002 
 2454037.729789 13.76222 0.00002 
 2454037.734411 13.76223 0.00002 
 2454037.739033 13.76218 0.00002 
 2454037.743653 13.76224 0.00002 
 2454037.748274 13.76217 0.00002 
 2454037.752895 13.76223 0.00006 
 2454037.757517 13.76247 0.00038 
 2454037.762139 13.76481 0.00396 
 2454037.766760 13.75304 0.00585 
 2454037.771381 13.77888 0.00577 
 2454037.776002 13.75143 0.00593 
 2454037.780624 13.76542 0.00581 
 2454037.785245 13.75041 0.00589 
 2454038.735588 13.76222 0.00002 
 2454038.740209 13.76223 0.00002 
 2454038.758691 13.76147 0.00320 
 2454038.767932 13.73674 0.00387 
 2454038.772554 13.77151 0.00595 
 2454038.777175 13.76327 0.00516 
 2454038.781796 13.79850 0.00438 
 2454039.716430 13.76221 0.00002 
 2454039.721049 13.76221 0.00002 
 2454039.725669 13.76221 0.00002 
 2454039.730289 13.76214 0.00005 
