\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_009476_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 602      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:07:16 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454450.664386 13.26604 0.00371 
 2454460.634944 13.26503 0.00408 
 2454460.640304 13.23792 0.00431 
 2454461.630294 13.25044 0.00391 
 2454461.635650 13.26498 0.00379 
 2454461.641009 13.25708 0.00384 
 2454462.631829 13.26153 0.00328 
 2454462.637189 13.25132 0.00347 
 2454463.627305 13.27219 0.00344 
 2454463.632664 13.25965 0.00371 
 2454464.622717 13.27288 0.00360 
 2454464.628076 13.26142 0.00365 
 2454464.633437 13.26003 0.00361 
 2454465.623549 13.26424 0.00378 
 2454465.628908 13.25279 0.00367 
 2454731.906846 13.27281 0.00430 
 2454731.913903 13.25855 0.00422 
 2454731.920953 13.28498 0.00392 
 2454731.928018 13.28275 0.00398 
 2454731.935075 13.27582 0.00415 
 2454731.942128 13.26832 0.00416 
 2454731.949184 13.26195 0.00412 
 2454731.956232 13.26944 0.00418 
 2454731.960957 13.25761 0.00423 
 2454731.965660 13.26222 0.00427 
 2454731.970378 13.26324 0.00428 
 2454731.991444 13.25816 0.00415 
 2454731.993643 13.27474 0.00421 
 2454731.995831 13.26486 0.00417 
 2454731.998037 13.27347 0.00422 
 2454732.000225 13.27131 0.00430 
 2454732.002434 13.26203 0.00437 
 2454732.004629 13.25551 0.00439 
 2454732.006828 13.26456 0.00449 
 2454732.009028 13.26419 0.00470 
 2454732.011219 13.24929 0.00508 
 2454732.013426 13.24746 0.00563 
 2454732.911568 13.25874 0.00390 
 2454732.918624 13.27351 0.00358 
 2454732.925683 13.28061 0.00382 
 2454732.932736 13.26703 0.00393 
 2454732.939785 13.26473 0.00399 
 2454732.946843 13.26102 0.00395 
 2454732.953893 13.25950 0.00401 
 2454732.958605 13.25838 0.00393 
 2454732.963321 13.25968 0.00394 
 2454732.968038 13.25195 0.00399 
 2454732.989102 13.25423 0.00387 
 2454732.991292 13.26020 0.00400 
 2454732.993501 13.27040 0.00397 
 2454732.995701 13.27156 0.00402 
 2454732.997901 13.27013 0.00405 
 2454733.000096 13.26665 0.00405 
 2454733.002288 13.26050 0.00406 
 2454733.004495 13.26708 0.00409 
 2454733.006681 13.25680 0.00421 
 2454733.008892 13.25752 0.00439 
 2454733.011090 13.26115 0.00477 
 2454733.013279 13.25649 0.00537 
 2454733.901125 13.26852 0.00354 
 2454733.911292 13.26338 0.00376 
 2454733.921461 13.27592 0.00363 
 2454733.975612 13.27296 0.00375 
 2454733.987543 13.27546 0.00366 
 2454733.992276 13.24365 0.00374 
 2454733.997003 13.24615 0.00364 
 2454734.001726 13.27162 0.00372 
 2454734.006453 13.26668 0.00396 
 2454734.011183 13.25770 0.00459 
 2454734.905837 13.24475 0.00362 
 2454734.918267 13.23690 0.00388 
 2454734.930691 13.24249 0.00390 
 2454734.943120 13.25252 0.00387 
 2454734.960785 13.26280 0.00374 
 2454734.976174 13.27154 0.00358 
 2454735.007888 13.26532 0.00421 
 2454737.895504 13.25283 0.00345 
 2454737.907936 13.23832 0.00368 
 2454737.920366 13.24279 0.00367 
 2454737.932813 13.25094 0.00353 
 2454737.945293 13.23724 0.00369 
 2454737.975308 13.26113 0.00372 
 2454737.985491 13.25747 0.00350 
 2454737.995667 13.25914 0.00366 
 2454738.005848 13.26217 0.00391 
 2454738.016019 13.24788 0.00577 
 2454738.895219 13.24378 0.00355 
 2454738.907643 13.24760 0.00363 
 2454738.920061 13.25752 0.00366 
 2454738.932473 13.26473 0.00337 
 2454738.972448 13.26837 0.00333 
 2454738.982609 13.25613 0.00341 
 2454738.992772 13.26366 0.00343 
 2454739.002951 13.26142 0.00367 
 2454739.015405 13.25388 0.00499 
 2454739.891311 13.23937 0.00370 
 2454739.903730 13.25486 0.00358 
 2454739.916144 13.26969 0.00370 
 2454739.928556 13.26592 0.00340 
 2454739.941012 13.26339 0.00337 
 2454739.991322 13.25557 0.00442 
 2454740.001486 13.27199 0.00326 
 2454741.887485 13.23691 0.00361 
 2454741.899906 13.24195 0.00374 
 2454741.912318 13.23805 0.00380 
 2454741.924734 13.24282 0.00371 
 2454741.934719 13.27279 0.00357 
 2454741.964697 13.25960 0.00346 
 2454741.974875 13.23917 0.00358 
 2454741.985039 13.26692 0.00345 
 2454741.995205 13.26651 0.00338 
 2454742.007665 13.25646 0.00371 
 2454742.897478 13.25846 0.00360 
 2454742.909906 13.23938 0.00348 
 2454742.922331 13.24759 0.00333 
 2454742.972515 13.24497 0.00352 
 2454742.982695 13.26371 0.00330 
 2454742.992869 13.27874 0.00329 
 2454743.005360 13.26074 0.00359 
 2454743.015363 13.23645 0.00406 
 2454743.880195 13.25643 0.00409 
 2454743.892611 13.25579 0.00347 
 2454743.905025 13.25417 0.00311 
 2454743.929876 13.25336 0.00351 
 2454743.980153 13.26141 0.00357 
 2454743.990306 13.26906 0.00349 
 2454744.002750 13.26569 0.00357 
 2454744.012736 13.22930 0.00382 
 2454745.873877 13.25714 0.00373 
 2454745.886296 13.25321 0.00367 
 2454745.898707 13.26358 0.00377 
 2454745.911117 13.27175 0.00382 
 2454745.923577 13.25940 0.00368 
 2454745.973874 13.24781 0.00389 
 2454745.984047 13.24803 0.00371 
 2454745.996517 13.27322 0.00363 
 2454746.006531 13.26542 0.00360 
 2454746.016512 13.27038 0.00443 
 2454746.873787 13.26142 0.00385 
 2454746.886196 13.25807 0.00392 
 2454746.898609 13.27277 0.00375 
 2454746.911015 13.26210 0.00392 
 2454746.961114 13.26758 0.00386 
 2454746.971263 13.24864 0.00395 
 2454746.981423 13.24997 0.00393 
 2454746.993882 13.27078 0.00389 
 2454747.003869 13.25994 0.00362 
 2454747.013857 13.27016 0.00402 
 2454747.870728 13.27262 0.00371 
 2454747.883144 13.25336 0.00384 
 2454747.895556 13.26873 0.00381 
 2454747.907964 13.25664 0.00383 
 2454747.917946 13.25664 0.00386 
 2454747.968236 13.25334 0.00385 
 2454747.978394 13.26460 0.00380 
 2454747.990849 13.27530 0.00371 
 2454748.000857 13.26502 0.00390 
 2454748.010841 13.26328 0.00399 
 2454748.868068 13.25869 0.00364 
 2454748.880441 13.25317 0.00380 
 2454748.892818 13.26597 0.00379 
 2454748.905191 13.26341 0.00389 
 2454748.915150 13.25515 0.00383 
 2454748.935061 13.27384 0.00362 
 2454748.965290 13.25016 0.00384 
 2454748.975422 13.25837 0.00372 
 2454748.987838 13.27542 0.00356 
 2454748.997800 13.26833 0.00359 
 2454749.007759 13.26262 0.00367 
 2454749.017711 13.26838 0.00426 
 2454749.865403 13.26704 0.00410 
 2454749.877826 13.24795 0.00398 
 2454749.890245 13.26954 0.00403 
 2454749.902658 13.25472 0.00393 
 2454749.942627 13.26301 0.00382 
 2454749.952799 13.26533 0.00375 
 2454749.962973 13.25205 0.00375 
 2454749.973141 13.25013 0.00367 
 2454749.985609 13.27351 0.00374 
 2454749.995604 13.27205 0.00661 
 2454750.005593 13.27428 0.00345 
 2454750.015579 13.26556 0.00344 
 2454758.836382 13.26031 0.00515 
 2454758.843551 13.27695 0.00453 
 2454758.850719 13.26465 0.00451 
 2454758.857884 13.25329 0.00475 
 2454758.865044 13.25670 0.00475 
 2454758.872204 13.25810 0.00478 
 2454758.879351 13.26472 0.00474 
 2454758.886418 13.27101 0.00437 
 2454758.891146 13.28628 0.00437 
 2454758.900600 13.27255 0.00484 
 2454758.921705 13.25226 0.00458 
 2454758.923912 13.25386 0.00455 
 2454758.926115 13.25531 0.00445 
 2454758.928322 13.25910 0.00449 
 2454758.930522 13.25641 0.00448 
 2454758.932724 13.25647 0.00459 
 2454758.934932 13.25451 0.00484 
 2454758.937137 13.24485 0.00515 
 2454758.939342 13.25394 0.00506 
 2454758.941543 13.25315 0.00504 
 2454758.943748 13.24098 0.00507 
 2454758.945947 13.25493 0.00504 
 2454758.948150 13.25075 0.00490 
 2454758.950352 13.25723 0.00486 
 2454758.952555 13.26438 0.00479 
 2454758.954760 13.25516 0.00479 
 2454758.959855 13.26454 0.00528 
 2454759.832185 13.24796 0.00440 
 2454759.839255 13.27168 0.00406 
 2454759.846312 13.26957 0.00431 
 2454759.853369 13.25714 0.00442 
 2454759.860426 13.26184 0.00418 
 2454759.867484 13.26686 0.00418 
 2454759.874542 13.28301 0.00418 
 2454759.881601 13.27472 0.00419 
 2454759.886312 13.26785 0.00445 
 2454759.891041 13.27132 0.00426 
 2454759.916829 13.24816 0.00431 
 2454759.919023 13.25592 0.00443 
 2454759.921230 13.25792 0.00444 
 2454759.923419 13.25161 0.00422 
 2454759.925629 13.25389 0.00419 
 2454759.927830 13.25565 0.00418 
 2454759.930021 13.25836 0.00413 
 2454759.932232 13.25765 0.00413 
 2454759.934423 13.25804 0.00415 
 2454759.936633 13.26313 0.00418 
 2454759.938835 13.26283 0.00421 
 2454759.941028 13.25487 0.00432 
 2454759.943238 13.25401 0.00447 
 2454759.945426 13.24212 0.00453 
 2454759.947637 13.24151 0.00451 
 2454759.949841 13.24603 0.00450 
 2454759.952034 13.25459 0.00451 
 2454759.954240 13.24800 0.00443 
 2454759.956432 13.24988 0.00440 
 2454759.958643 13.24403 0.00438 
 2454759.960845 13.25198 0.00430 
 2454759.963038 13.25055 0.00431 
 2454759.965246 13.25705 0.00420 
 2454759.967438 13.26271 0.00430 
 2454759.969649 13.26947 0.00434 
 2454759.971850 13.25533 0.00462 
 2454759.974047 13.25489 0.00473 
 2454759.976255 13.26994 0.00467 
 2454759.978445 13.26619 0.00442 
 2454759.980655 13.25644 0.00422 
 2454759.982856 13.24792 0.00435 
 2454760.828970 13.25860 0.00426 
 2454760.839132 13.26309 0.00436 
 2454760.849290 13.25660 0.00429 
 2454760.859454 13.27531 0.00417 
 2454760.869619 13.27329 0.00434 
 2454760.879783 13.27579 0.00431 
 2454760.912836 13.26278 0.00410 
 2454760.917559 13.26007 0.00425 
 2454760.922284 13.26976 0.00430 
 2454760.927010 13.27178 0.00406 
 2454760.931731 13.26810 0.00400 
 2454760.936452 13.26634 0.00393 
 2454760.941168 13.27054 0.00414 
 2454760.945885 13.26657 0.00416 
 2454760.950601 13.26028 0.00424 
 2454777.788205 13.26201 0.00423 
 2454777.800129 13.25511 0.00428 
 2454777.812060 13.25894 0.00404 
 2454777.823994 13.24511 0.00401 
 2454777.845588 13.28057 0.00178 
 2454777.894135 13.25062 0.00393 
 2454777.903926 13.26835 0.00364 
 2454777.915896 13.25354 0.00404 
 2454777.935102 13.43549 0.00393 
 2454777.944695 13.26830 0.00368 
 2454778.778065 13.26923 0.00430 
 2454778.785702 13.25984 0.00463 
 2454778.793361 13.27160 0.00432 
 2454778.808645 13.25104 0.00469 
 2454778.826093 13.27035 0.00487 
 2454778.840931 13.26550 0.00447 
 2454778.848354 13.27019 0.00461 
 2454778.863188 13.24928 0.00433 
 2454779.776836 13.25468 0.00497 
 2454786.759329 13.26604 0.00500 
 2454786.766112 13.24894 0.00482 
 2454786.772896 13.25261 0.00515 
 2454786.779694 13.26212 0.00510 
 2454786.786478 13.27021 0.00472 
 2454786.793271 13.26952 0.00466 
 2454786.800061 13.26073 0.00470 
 2454786.806870 13.26484 0.00475 
 2454786.811415 13.26792 0.00473 
 2454786.815957 13.26550 0.00463 
 2454786.820506 13.27487 0.00460 
 2454786.825049 13.27402 0.00461 
 2454786.829579 13.27975 0.00467 
 2454786.834127 13.27083 0.00471 
 2454786.838672 13.27393 0.00483 
 2454786.843210 13.26325 0.00485 
 2454786.845312 13.25247 0.00484 
 2454786.847428 13.25530 0.00477 
 2454786.849541 13.25380 0.00476 
 2454786.851651 13.25166 0.00473 
 2454786.853764 13.25741 0.00478 
 2454786.855874 13.26478 0.00485 
 2454786.857990 13.25667 0.00476 
 2454786.860099 13.27079 0.00476 
 2454786.862208 13.25310 0.00485 
 2454786.864316 13.26351 0.00482 
 2454786.866432 13.26586 0.00488 
 2454786.868542 13.26060 0.00485 
 2454786.870655 13.26226 0.00491 
 2454786.872766 13.26154 0.00493 
 2454786.874879 13.26572 0.00492 
 2454786.876989 13.26182 0.00492 
 2454786.879104 13.26716 0.00489 
 2454786.881219 13.26189 0.00493 
 2454786.883335 13.26389 0.00495 
 2454786.885442 13.26961 0.00490 
 2454786.887552 13.27406 0.00494 
 2454786.889662 13.27223 0.00486 
 2454786.891777 13.27180 0.00493 
 2454786.893885 13.27145 0.00487 
 2454786.895990 13.26322 0.00495 
 2454786.898099 13.26587 0.00506 
 2454786.900212 13.26139 0.00505 
 2454786.902326 13.26394 0.00509 
 2454786.904441 13.26291 0.00511 
 2454786.906551 13.26695 0.00514 
 2454786.908661 13.27431 0.00514 
 2454786.910772 13.27381 0.00505 
 2454786.912882 13.26842 0.00509 
 2454786.917097 13.26739 0.00547 
 2454786.919207 13.24795 0.00521 
 2454787.755338 13.25603 0.00435 
 2454787.765136 13.26882 0.00426 
 2454787.774938 13.25956 0.00443 
 2454787.784756 13.26661 0.00438 
 2454787.804375 13.26735 0.00433 
 2454787.808917 13.26239 0.00433 
 2454787.813453 13.26511 0.00411 
 2454787.817993 13.28558 0.00413 
 2454787.822534 13.26677 0.00423 
 2454787.831623 13.27276 0.00450 
 2454787.843094 13.26404 0.00440 
 2454787.847629 13.26023 0.00431 
 2454787.852169 13.25888 0.00420 
 2454787.856716 13.26383 0.00420 
 2454787.861253 13.25885 0.00443 
 2454787.865793 13.25948 0.00443 
 2454787.870330 13.26651 0.00456 
 2454787.874870 13.25788 0.00447 
 2454787.879407 13.25496 0.00440 
 2454787.883956 13.27054 0.00435 
 2454787.888496 13.25466 0.00451 
 2454787.893043 13.25077 0.00461 
 2454787.897576 13.26410 0.00467 
 2454787.902121 13.25927 0.00459 
 2454787.906661 13.27024 0.00462 
 2454787.911205 13.27231 0.00453 
 2454787.915743 13.25718 0.00482 
 2454788.755449 13.26478 0.00407 
 2454788.765250 13.26834 0.00402 
 2454788.775055 13.25887 0.00424 
 2454788.794654 13.27087 0.00422 
 2454788.808996 13.25923 0.00419 
 2454788.813538 13.27297 0.00389 
