\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000034_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:01:50 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 13.15599 0.00484 
 2454034.701953 13.14585 0.00440 
 2454034.706575 13.16152 0.00486 
 2454034.711195 13.15285 0.00445 
 2454034.715816 13.15123 0.00431 
 2454034.721280 13.15675 0.00459 
 2454034.726743 13.16079 0.00412 
 2454034.728931 13.16721 0.00420 
 2454034.733552 13.15874 0.00424 
 2454034.738171 13.15788 0.00421 
 2454034.742791 13.16066 0.00414 
 2454034.747412 13.14660 0.00461 
 2454034.752032 13.16167 0.00384 
 2454034.756652 13.15429 0.00532 
 2454034.761271 13.16396 0.00406 
 2454034.765892 13.15428 0.00428 
 2454034.770512 13.14674 0.00409 
 2454034.775132 13.15801 0.00401 
 2454034.788988 13.15169 0.00425 
 2454034.793608 13.15024 0.00395 
 2454035.691028 13.15748 0.00459 
 2454035.695648 13.14585 0.00466 
 2454035.700270 13.15979 0.00454 
 2454035.704890 13.14617 0.00458 
 2454035.709512 13.15235 0.00454 
 2454035.714132 13.15191 0.00449 
 2454035.719593 13.15757 0.00442 
 2454035.721781 13.15000 0.00431 
 2454035.726402 13.15141 0.00439 
 2454035.731024 13.15210 0.00434 
 2454035.735647 13.14665 0.00436 
 2454035.740269 13.14916 0.00429 
 2454035.744889 13.14170 0.00426 
 2454035.749509 13.16513 0.00413 
 2454035.754130 13.15699 0.00426 
 2454035.758752 13.15947 0.00415 
 2454035.763372 13.14661 0.00424 
 2454035.767992 13.15216 0.00417 
 2454035.772612 13.15898 0.00418 
 2454035.777233 13.13909 0.00420 
 2454035.781854 13.15747 0.00414 
 2454035.786476 13.14786 0.00416 
 2454035.791096 13.15214 0.00410 
 2454036.691428 13.14803 0.00462 
 2454036.696047 13.15300 0.00444 
 2454036.700668 13.14471 0.00442 
 2454036.705288 13.14644 0.00463 
 2454036.709908 13.16455 0.00434 
 2454036.715372 13.15209 0.00440 
 2454036.720834 13.14758 0.00444 
 2454036.723022 13.16041 0.00438 
 2454036.727641 13.13847 0.00416 
 2454036.732260 13.15788 0.00443 
 2454036.736880 13.14879 0.00435 
 2454036.741499 13.16561 0.00424 
 2454036.746121 13.16717 0.00425 
 2454036.750741 13.14532 0.00402 
 2454036.755361 13.15752 0.00449 
 2454036.759981 13.14679 0.00430 
 2454036.764603 13.16108 0.00425 
 2454036.769224 13.14597 0.00419 
 2454036.773844 13.15560 0.00407 
 2454036.778464 13.14869 0.00446 
 2454036.783085 13.14748 0.00426 
 2454036.787706 13.15451 0.00417 
 2454037.685167 13.16130 0.00436 
 2454037.689788 13.16276 0.00437 
 2454037.694408 13.15431 0.00403 
 2454037.699029 13.16041 0.00540 
 2454037.703650 13.15752 0.00373 
 2454037.708272 13.15592 0.00420 
 2454037.713737 13.15583 0.00425 
 2454037.715925 13.15240 0.00417 
 2454037.720546 13.16010 0.00415 
 2454037.725167 13.15098 0.00413 
 2454037.729789 13.15695 0.00410 
 2454037.734411 13.16038 0.00397 
 2454037.739033 13.15902 0.00394 
 2454037.743653 13.16817 0.00389 
 2454037.748274 13.15032 0.00399 
 2454037.752895 13.15408 0.00394 
 2454037.757517 13.15295 0.00394 
 2454037.762139 13.15733 0.00387 
 2454037.766760 13.15239 0.00385 
 2454037.771381 13.15834 0.00383 
 2454037.776002 13.15245 0.00390 
 2454037.780624 13.15366 0.00385 
 2454037.785245 13.15837 0.00388 
 2454038.735588 13.15539 0.00408 
 2454038.740209 13.15284 0.00420 
 2454038.758691 13.16239 0.00396 
 2454038.767932 13.13333 0.00252 
 2454038.772554 13.14725 0.00391 
 2454038.777175 13.16385 0.00342 
 2454038.781796 13.15082 0.00297 
 2454039.676434 13.15501 0.00505 
 2454039.681054 13.15776 0.00505 
 2454039.685675 13.16540 0.00501 
 2454039.690296 13.15382 0.00504 
