\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000026_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:00:20 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454048.696984 14.09880 0.01102 
 2454048.699084 14.06161 0.01145 
 2454048.703605 14.09880 0.01105 
 2454048.708124 14.07192 0.01108 
 2454048.712704 14.09441 0.01086 
 2454048.717223 14.08357 0.01139 
 2454048.721743 14.09516 0.01091 
 2454048.726267 14.10117 0.01088 
 2454048.730787 14.09547 0.01116 
 2454048.735304 14.09775 0.01077 
 2454048.739824 14.07615 0.01087 
 2454048.744344 14.07681 0.01066 
 2454048.748864 14.07835 0.01097 
 2454048.753384 14.09448 0.01068 
 2454050.661443 14.08129 0.00919 
 2454050.665961 14.09083 0.00893 
 2454050.670486 14.07848 0.00893 
 2454050.675859 14.08473 0.00889 
 2454050.681227 14.10239 0.00901 
 2454050.686590 14.08353 0.00859 
 2454050.691959 14.07275 0.00870 
 2454050.694063 14.07531 0.00862 
 2454050.698585 14.09376 0.00844 
 2454050.703103 14.09611 0.00855 
 2454050.707628 14.10120 0.00843 
 2454050.712143 14.07569 0.00840 
 2454050.721189 14.08609 0.00855 
 2454050.725707 14.08069 0.00860 
 2454050.730228 14.09500 0.00879 
 2454050.734754 14.08075 0.00877 
 2454050.739272 14.07991 0.00896 
 2454050.743796 14.08942 0.00899 
 2454050.748318 14.09514 0.00906 
 2454052.657430 14.07830 0.00916 
 2454052.661956 14.09970 0.00881 
 2454052.666475 14.09086 0.00890 
 2454052.671844 14.08294 0.00838 
 2454052.677207 14.07165 0.00925 
 2454052.682575 14.09876 0.00863 
 2454052.687946 14.08977 0.00849 
 2454052.690052 14.08537 0.00847 
 2454052.694574 14.09456 0.00872 
 2454052.699097 14.07157 0.00878 
 2454052.703616 14.08197 0.00850 
 2454052.708139 14.08784 0.00865 
 2454052.712656 14.08319 0.00854 
 2454052.717178 14.08237 0.00875 
 2454052.721694 14.09902 0.00861 
 2454052.730734 14.07687 0.00897 
 2454052.735259 14.06549 0.00877 
 2454052.739783 14.07381 0.00880 
 2454052.744299 14.10015 0.00907 
 2454053.651245 14.08526 0.00870 
 2454053.655770 14.08959 0.00859 
 2454053.660295 14.07240 0.00901 
 2454053.664818 14.07520 0.00852 
 2454053.670182 14.08101 0.00861 
 2454053.675551 14.09086 0.00832 
 2454053.680921 14.08177 0.00850 
 2454053.686292 14.09258 0.00842 
 2454053.688397 14.07212 0.00837 
 2454053.692922 14.08968 0.00855 
 2454053.697438 14.09339 0.00816 
 2454053.706490 14.08656 0.00795 
 2454053.711014 14.07647 0.00813 
 2454053.715536 14.08631 0.00776 
 2454053.720054 14.08593 0.00787 
 2454053.724578 14.08709 0.00781 
 2454053.729100 14.09123 0.00782 
 2454053.733619 14.07896 0.00788 
 2454053.738144 14.08507 0.00799 
 2454053.742669 14.08366 0.00799 
 2454054.652340 14.08036 0.00822 
 2454054.656858 14.06799 0.00830 
 2454054.661383 14.09197 0.00812 
 2454054.666755 14.08921 0.00802 
 2454054.672125 14.08119 0.00808 
 2454054.677497 14.08777 0.00838 
 2454054.682867 14.09301 0.00805 
 2454054.684971 14.08441 0.00826 
 2454054.689493 14.08449 0.00799 
 2454054.694012 14.09488 0.00769 
 2454054.698536 14.07966 0.00782 
 2454054.703058 14.07788 0.00795 
 2454054.707575 14.07375 0.00793 
 2454054.712099 14.07411 0.00779 
 2454054.716624 14.08544 0.00764 
 2454054.721147 14.09550 0.00776 
 2454054.725665 14.08167 0.00786 
 2454054.730189 14.07916 0.00788 
 2454054.734714 14.08885 0.00749 
 2454054.739238 14.07935 0.00755 
 2454055.646626 14.09943 0.00886 
 2454055.651150 14.07184 0.00887 
 2454055.655676 14.08560 0.00868 
 2454055.661040 14.08594 0.00861 
 2454055.666408 14.10500 0.00814 
 2454055.671778 14.07321 0.00835 
 2454055.677148 14.09286 0.00835 
 2454055.679253 14.07989 0.00820 
 2454055.683777 14.09383 0.00806 
 2454055.688302 14.08143 0.00802 
 2454055.692827 14.08559 0.00804 
 2454055.697343 14.08955 0.00789 
 2454055.701867 14.08413 0.00774 
 2454055.706389 14.08385 0.00793 
 2454055.710907 14.08025 0.00778 
 2454055.715432 14.07872 0.00779 
 2454055.719956 14.08551 0.00763 
 2454055.724473 14.09952 0.00782 
 2454055.728997 14.08362 0.00774 
 2454055.733520 14.07897 0.00763 
 2454056.647318 14.10098 0.00837 
 2454056.651837 14.08620 0.00855 
 2454056.656361 14.08747 0.00857 
 2454056.661723 14.10618 0.00834 
 2454056.667091 14.09276 0.00835 
 2454056.672454 14.07693 0.00855 
 2454056.677821 14.08469 0.00835 
 2454056.679924 14.09209 0.00825 
 2454056.684448 14.07280 0.00825 
 2454056.688972 14.08776 0.00800 
 2454056.693492 14.08507 0.00830 
 2454056.698015 14.08160 0.00802 
 2454056.702537 14.09289 0.00812 
 2454056.707056 14.10733 0.00785 
 2454056.711581 14.08469 0.00804 
 2454056.716105 14.08800 0.00783 
 2454056.720631 14.09077 0.00793 
 2454056.725154 14.09276 0.00815 
 2454056.729671 14.08982 0.00800 
 2454056.734196 14.08197 0.00789 
 2454057.641528 14.08871 0.00908 
 2454057.646052 14.08967 0.00874 
 2454057.650575 14.07117 0.00873 
 2454057.655939 14.09314 0.00875 
 2454057.661302 14.08453 0.00860 
 2454057.666667 14.09737 0.00847 
 2454057.672036 14.08069 0.00859 
 2454057.677400 14.08456 0.00858 
 2454057.679503 14.07853 0.00845 
 2454057.684026 14.08703 0.00835 
 2454057.688542 14.08450 0.00851 
 2454057.693066 14.07809 0.00842 
 2454057.697587 14.09511 0.00830 
 2454057.702107 14.09988 0.00819 
 2454057.706631 14.08212 0.00837 
 2454057.711156 14.07419 0.00840 
 2454057.715681 14.07512 0.00829 
 2454057.720203 14.08537 0.00810 
 2454057.724722 14.09542 0.00805 
 2454057.729246 14.09241 0.00839 
 2454058.641923 14.07212 0.00847 
 2454058.646443 14.08571 0.00824 
 2454058.650963 14.09144 0.00818 
 2454058.656328 14.10168 0.00847 
 2454058.661697 14.10127 0.00804 
 2454058.667066 14.08913 0.00810 
 2454058.672429 14.08792 0.00818 
 2454058.674533 14.09106 0.00813 
 2454058.679057 14.08826 0.00816 
 2454058.683579 14.08786 0.00797 
 2454058.688097 14.08919 0.00826 
 2454058.692621 14.08594 0.00801 
 2454058.697147 14.08114 0.00794 
 2454058.701672 14.09061 0.00810 
 2454058.706194 14.08053 0.00785 
 2454058.710713 14.09550 0.00781 
 2454058.715237 14.09757 0.00771 
 2454058.719762 14.09317 0.00761 
 2454058.724285 14.08170 0.00779 
 2454058.728802 14.07961 0.00773 
 2454059.580521 14.08693 0.00918 
 2454059.585045 14.08512 0.00931 
 2454059.589567 14.07036 0.00948 
 2454059.594085 14.07372 0.00922 
 2454059.598608 14.09687 0.00918 
 2454059.603125 14.08153 0.00887 
 2454059.607649 14.08038 0.00897 
 2454059.612171 14.08157 0.00876 
 2454059.616690 14.07979 0.00873 
 2454059.621213 14.09334 0.00869 
 2454059.625736 14.07584 0.00861 
 2454059.630255 14.09617 0.00852 
 2454059.634780 14.09049 0.00856 
 2454059.639301 14.08532 0.00863 
 2454059.643819 14.08995 0.00851 
 2454059.648340 14.09549 0.00826 
 2454059.653704 14.09893 0.00826 
 2454059.659067 14.09561 0.00830 
 2454059.664434 14.09568 0.00849 
 2454059.666537 14.10777 0.00823 
 2454059.671060 14.10661 0.00826 
 2454059.675579 14.09606 0.00822 
 2454059.680103 14.08405 0.00829 
 2454059.684625 14.09582 0.00805 
 2454059.689144 14.09266 0.00816 
 2454059.693667 14.08103 0.00797 
 2454059.698190 14.09296 0.00794 
 2454059.702708 14.09626 0.00793 
 2454059.707232 14.09821 0.00795 
 2454059.711754 14.08132 0.00806 
 2454059.716273 14.09387 0.00796 
 2454059.720797 14.08910 0.00777 
 2454059.725318 14.08254 0.00778 
 2454060.580529 14.09483 0.00999 
 2454060.585051 14.08562 0.00986 
 2454060.589569 14.08360 0.01007 
 2454060.594094 14.09416 0.00989 
 2454060.598617 14.10512 0.01012 
 2454060.603135 14.08725 0.00984 
 2454060.607659 14.08507 0.00983 
 2454060.612185 14.05978 0.00973 
 2454060.616710 14.08088 0.00940 
 2454060.621233 14.09984 0.00928 
 2454060.625750 14.09792 0.00907 
 2454060.630275 14.07823 0.00909 
