\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_005172_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 604      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:01:44 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.796138 13.91464 0.00804 
 2454035.796138 13.91464 0.00804 
 2454035.796138 13.91464 0.00804 
 2454035.801601 13.94037 0.00737 
 2454036.792748 13.89530 0.00795 
 2454036.798212 13.93465 0.00728 
 2454036.803677 13.91625 0.00678 
 2454037.790288 13.92598 0.00755 
 2454037.795751 13.94938 0.00697 
 2454037.801215 13.92627 0.00689 
 2454038.786837 13.91941 0.00748 
 2454038.792301 13.92385 0.00708 
 2454038.797767 13.93272 0.00738 
 2454039.786156 13.93345 0.00864 
 2454040.782391 13.92680 0.01010 
 2454048.758326 13.92556 0.01047 
 2454048.769051 13.90364 0.00932 
 2454048.774412 13.91918 0.00909 
 2454048.779774 13.88972 0.00963 
 2454050.753257 13.92131 0.00920 
 2454050.758623 13.90690 0.00869 
 2454050.763985 13.92678 0.00819 
 2454050.769353 13.91054 0.00840 
 2454052.749244 13.90529 0.00854 
 2454052.754611 13.89641 0.00756 
 2454052.759974 13.94337 0.00772 
 2454052.765340 13.92214 0.00738 
 2454052.770701 13.92659 0.00739 
 2454053.747612 13.93431 0.00783 
 2454053.758345 13.90942 0.00741 
 2454053.763714 13.93003 0.00725 
 2454053.769083 13.91551 0.00716 
 2454054.744176 13.92811 0.00776 
 2454054.754916 13.92962 0.00697 
 2454054.760287 13.92992 0.00679 
 2454054.765656 13.94087 0.00709 
 2454055.738458 13.93849 0.00763 
 2454055.749196 13.93019 0.00704 
 2454055.754566 13.92791 0.00700 
 2454055.759929 13.93355 0.00709 
 2454055.765298 13.92557 0.00697 
 2454056.739140 13.91499 0.00858 
 2454056.744508 13.92899 0.00710 
 2454056.749872 13.90200 0.00757 
 2454056.755241 13.93598 0.00748 
 2454056.760609 13.91561 0.00735 
 2454057.734189 13.90646 0.00828 
 2454057.744929 13.92023 0.00778 
 2454057.750291 13.91251 0.00765 
 2454057.755659 13.93972 0.00760 
 2454057.761029 13.90551 0.00795 
 2454058.733748 13.93767 0.00768 
 2454058.744484 13.92882 0.00778 
 2454058.749848 13.92716 0.00722 
 2454058.755216 13.91371 0.00768 
 2454059.730258 13.91674 0.00787 
 2454059.735624 13.93889 0.00707 
 2454059.740993 13.90755 0.00748 
